GRP,SPECIES_ID,ALPHA_CODE,SPECIES_NAME,SCIENTIFIC_NAME
_25,6260,PHVI,Philadelphia Vireo,Vireo philadelphicus
_25,6270,WAVI,Warbling Vireo,Vireo gilvus
_25,6240,REVI,Red-eyed Vireo,Vireo olivaceus
_25,6250,YGVI,Yellow-green Vireo,Vireo flavoviridis
_25,6230,BWVI,Black-whiskered Vireo,Vireo altiloquus
_25,8690,RUFA,Rufous Fantail,Rhipidura rufifrons
_25,8740,BLDR,Black Drongo,Dicrurus macrocercus
_25,8691,FISH,Fiji Shrikebill,Clytorhynchus vitiensis
_25,8560,TIMO,Tinian Monarch,Monarcha takatsukasae
_25,7702,KAEL,Kauai Elepaio,Chasiempis sclateri
_25,7701,OAEL,Oahu Elepaio,Chasiempis ibidis
_25,7700,HAEL,Hawaii Elepaio,Chasiempis sandwichensis
_25,6211,BRSH,Brown Shrike,Lanius cristatus
_25,6220,LOSH,Loggerhead Shrike,Lanius ludovicianus
_25,6227,SLSH,San Clemente Loggerhead Shrike,Lanius ludovicianus mearnsi
_25,6210,NSHR,Northern Shrike,Lanius borealis
_25,4840,CAJA,Canada Jay,Perisoreus canadensis
_25,4832,BRJA,Brown Jay,Psilorhinus morio
_25,4830,GREJ,Green Jay,Cyanocorax yncas
_25,4920,PIJA,Pinyon Jay,Gymnorhinus cyanocephalus
_25,4780,STJA,Steller's Jay,Cyanocitta stelleri
_25,4770,BLJA,Blue Jay,Cyanocitta cristata
_25,4790,FLSJ,Florida Scrub-Jay,Aphelocoma coerulescens
_25,4811,ISSJ,Island Scrub-Jay,Aphelocoma insularis
_25,4813,CASJ,California Scrub-Jay,Aphelocoma californica
_25,4812,WOSJ,Woodhouse's Scrub-Jay,Aphelocoma woodhouseii
_25,4810,WESJ,Western Scrub-Jay,Aphelocoma californica
_25,4820,MEJA,Mexican Jay,Aphelocoma wollweberi
_25,4910,CLNU,Clark's Nutcracker,Nucifraga columbiana
_25,4750,BBMA,Black-billed Magpie,Pica hudsonia
_25,4760,YBMA,Yellow-billed Magpie,Pica nuttalli
_25,4880,AMCR,American Crow,Corvus brachyrhynchos
_25,4890,NOCR,Northwestern Crow,Corvus brachyrhynchos caurinus
_25,9107,JACR,Jamaican Crow,Corvus jamaicensis
_25,4900,FICR,Fish Crow,Corvus ossifragus
_25,4892,HCRO,Hawaiian Crow,Corvus hawaiiensis
_25,4870,CHRA,Chihuahuan Raven,Corvus cryptoleucus
_25,4860,CORA,Common Raven,Corvus corax
_25,8570,MARC,Mariana Crow,Corvus kubaryi
_26,7460,VERD,Verdin,Auriparus flaviceps
_26,7360,CACH,Carolina Chickadee,Poecile carolinensis
